"Group"	"Date"	"ET"	"Station"	"SP"	"Sex"	"Age"	"Weight"
"40"	"6_2m10"	"6_2"	10	"D17"	"PL"	"F"	"J"	16.5
"41"	"6_2m12"	"6_2"	12	"F19"	"PMG"	"M"	"A"	18
"42"	"6_2m14"	"6_2"	14	"B6"	"PL"	"M"	"J"	12
"43"	"6_2m15"	"6_2"	15	"N19"	"PMG"	"F"	"J"	13
"44"	"6_30m24"	"6_30"	24	"N20"	"PMG"	"F"	"A"	17
"45"	"6_30m2"	"6_30"	2	"B3"	"PL"	"M"	"A"	19
"46"	"6_30m33"	"6_30"	33	"F1"	"PMG"	"M"	"A"	19
"47"	"6_30m34"	"6_30"	34	"P6"	"PMG"	"M"	"SA"	15
"48"	"6_30m43"	"6_30"	43	"CC13"	"PMG"	"F"	"J"	16
"49"	"6_30m44"	"6_30"	44	"J16"	"PL"	"M"	"SA"	17
"50"	"6_5m13"	"6_5"	13	"N2"	"PMG"	"F"	"J"	18
"51"	"6_5m16"	"6_5"	16	"H20"	"PMG"	"M"	"A"	16
"52"	"6_5m19"	"6_5"	19	"L11"	"PMG"	"M"	"J"	13
"53"	"6_5m21"	"6_5"	21	"D13"	"PMG"	"F"	"J"	10.5
"54"	"6_5m7"	"6_5"	7	"I11"	"PMG"	"F"	"SA"	22
"55"	"7_13m1"	"7_13"	1	"AA13"	"PL"	"F"	"A"	23.5
"56"	"7_13m25"	"7_13"	25	"P15"	"PMG"	"F"	"A"	18.5
"57"	"7_13m34"	"7_13"	34	"D7"	"PMG"	"F"	"SA"	15
"58"	"7_13m37"	"7_13"	37	"AA6"	"PL"	"F"	"A"	15
"59"	"7_13m38"	"7_13"	38	"CC2"	"PMG"	"F"	"A"	22.5
"60"	"7_13m46"	"7_13"	46	"N4"	"PMG"	"F"	"A"	21
"61"	"7_13m51"	"7_13"	51	"B16"	"PMG"	"F"	"J"	14
"62"	"7_13m54"	"7_13"	54	"N3"	"PL"	"F"	"SA"	13
"63"	"7_13m55"	"7_13"	55	"J15"	"PL"	"F"	"SA"	14
"64"	"7_13m57"	"7_13"	57	"L20"	"PL"	"F"	"SA"	15.5
"65"	"7_13m61"	"7_13"	61	"CC6"	"PL"	"M"	"A"	17
"66"	"7_13m69"	"7_13"	69	"H20"	"PL"	"M"	"SA"	14.5
"67"	"7_14m1"	"7_14"	1	"CC13"	"PL"	"F"	"A"	21
"68"	"7_14m2"	"7_14"	2	"CC6"	"PL"	"M"	"A"	18.5
"69"	"7_14m21"	"7_14"	21	"AA10"	"PMG"	"F"	"A"	17.5
"70"	"7_14m24"	"7_14"	24	"N19"	"PMG"	"F"	"A"	24
"71"	"7_14m25"	"7_14"	25	"P16"	"PMG"	"F"	"SA"	18
"72"	"7_14m33"	"7_14"	33	"P2"	"PMG"	"M"	"A"	20
"73"	"7_14m34"	"7_14"	34	"H6"	"PMG"	"M"	"A"	17.5
"74"	"7_14m35"	"7_14"	35	"J1"	"PMG"	"F"	"A"	23
"75"	"7_14m38"	"7_14"	38	"CC2"	"PMG"	"F"	"A"	21
"76"	"7_14m51"	"7_14"	51	"B16"	"PMG"	"F"	"SA"	13.5
"77"	"7_14m54"	"7_14"	54	"P1"	"PL"	"F"	"J"	13.5
"78"	"7_14m55"	"7_14"	55	"L15"	"PL"	"F"	"SA"	13.5
"79"	"7_14m56"	"7_14"	56	"N20"	"PL"	"M"	"A"	18
"80"	"7_14m57"	"7_14"	57	"L19"	"PL"	"F"	"SA"	15
"81"	"7_14m59"	"7_14"	59	"CC3"	"PMG"	"M"	"SA"	16
"82"	"7_14m61"	"7_14"	61	"CC5"	"PL"	"M"	"A"	19
"83"	"7_14m64"	"7_14"	64	"B4"	"PMG"	"M"	"J"	13
