"Group" "Date" "ET" "Station" "SP" "Sex" "Repro" "Ear"
"71" "7_14m25" "7_14" 25 "P16" "PMG" "F" "NE" 16
"72" "7_14m33" "7_14" 33 "P2" "PMG" "M" "SCR" 15
"73" "7_14m34" "7_14" 34 "H6" "PMG" "M" "SCR" 16
"74" "7_14m35" "7_14" 35 "J1" "PMG" "F" "NE" 17
"75" "7_14m38" "7_14" 38 "CC2" "PMG" "F" "NE" 19
"76" "7_14m51" "7_14" 51 "B16" "PMG" "F" "NT" 17
"77" "7_14m54" "7_14" 54 "P1" "PL" "F" "NE" 15
"78" "7_14m55" "7_14" 55 "L15" "PL" "F" "NT" 14
"79" "7_14m56" "7_14" 56 "N20" "PL" "M" "SCR" 15
"80" "7_14m57" "7_14" 57 "L19" "PL" "F" "NE" 15
"81" "7_14m59" "7_14" 59 "CC3" "PMG" "M" "SCR" 17
"82" "7_14m61" "7_14" 61 "CC5" "PL" "M" "SCR" 14
"83" "7_14m64" "7_14" 64 "B4" "PMG" "M" "SCR" 16
"84" "7_14m69" "7_14" 69 "H20" "PL" "M" "ABD" 12
"85" "7_14m71" "7_14" 71 "D20" "PL" "F" "NT" 14
"86" "7_14m74" "7_14" 74 "N17" "PMG" "F" "NT" 14
"87" "7_14m77" "7_14" 77 "F17" "PMG" "M" "ABD" 15
"88" "7_14m79" "7_14" 79 "J20" "PMG" "F" "NT" 12
"89" "7_14m80" "7_14" 80 "N1" "PL" "M" "SCR" 15
"90" "7_2m21" "7_2" 21 "B8" "PMG" "F" "NT" 18
"91" "7_2m25" "7_2" 25 "P17" "PMG" "F" "NE" 15
"92" "7_2m27" "7_2" 27 "P11" "PL" "M" "ABD" 16
"93" "7_2m38" "7_2" 38 "AA20" "PMG" "F" "NE" 16
"94" "7_2m46" "7_2" 46 "P2" "PMG" "F" "NT" 15
"95" "7_2m51" "7_2" 51 "B18" "PMG" "F" "N" 16
"96" "7_2m52" "7_2" 52 "L16" "PMG" "M" "SCR" 17
"97" "7_2m53" "7_2" 53 "J17" "PL" "M" "SCR" 14
"98" "7_2m54" "7_2" 54 "H4" "PL" "F" "NT" 12
"99" "7_2m55" "7_2" 55 "P13" "PL" "F" "NT" 13
"100" "7_2m56" "7_2" 56 "N4" "PL" "M" "SCR" 16
"101" "7_2m57" "7_2" 57 "N20" "PL" "F" "NT" 15
"102" "7_3m2" "7_3" 2 "A3" "PL" "M" "SCR" 17
"103" "7_3m20" "7_3" 20 "M17" "PL" "M" "SCR" 18
"104" "7_3m34" "7_3" 34 "P6" "PMG" "M" "SCR" 17
"105" "7_3m37" "7_3" 37 "CC6" "PL" "F" "N" 14
"106" "7_3m38" "7_3" 38 "CC3" "PMG" "F" "NT" 19
"107" "7_3m43" "7_3" 43 "CC13" "PMG" "F" "NT" 16
"108" "7_3m44" "7_3" 44 "N16" "PL" "M" "SCR" 16
"109" "7_3m51" "7_3" 51 "B18" "PMG" "F" "NT" 15
"110" "7_3m57" "7_3" 57 "L19" "PL" "F" "NT" 15
"111" "7_3m60" "7_3" 60 "P11" "PL" "M" "A" 14
